step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
93,8.631517165968943e-13,,,,,,,,,,,,,,,,,coordination,1,-0.13997062020393192,,0,11,0.06941168239490732,0.4925983345898242,94266172448192.28,64,64,0,0.35
94,8.7039039339806e-13,,,,,,,,,,,,,,,,,relaxation,1,0.07774617882042593,,0,12,0.09943339981612155,0.625138817084814,86665729983110.19,64,64,0,0.35
95,9.254250706148747e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.03259011477056461,,0,12,0.02090952700585537,0.6235197287227261,96748769262116.12,64,64,0,0.35
96,9.337707446007017e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.012207867878080507,,0,12,0.02028954510767269,0.4514517591510075,91586786211934.44,64,64,0,0.35
97,9.708925342852328e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.1195763381982171,,0,10,0.033444969077414226,0.33031333812576136,97005308222079.94,64,64,0,0.35
98,9.758198478593942e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.07299553891429973,,0,12,0.0412391621380274,0.3187740556258627,101569419998868.92,64,64,0,0.35
99,9.871858463540292e-13,-6543.827880304311,-15.580542572153123,-46.74162771645937,133.0,224.0,357.0,275.0,82.0,1.5285714285714285,0.530952380952381,0.6439169139465876,0.7125,2.649653861816207,1.9009279964733654,2.0123080413809733,3.0812958095690863,rejected_coordination,0,-0.03475450256327469,0.00549244189598852,0,13,0.038513793291259424,0.5807624596720184,102237308498557.47,64,64,0,0.35
100,9.88069656850503e-13,,,,,,,,,,,,,,,,,surface,1,0.15801300179501032,,0,12,0.036446891177386205,0.25906969510940553,91631694134351.92,64,64,0,0.35
101,9.885794635180452e-13,,,,,,,,,,,,,,,,,surface,1,-0.127210512131978,,0,11,0.06643456030897608,0.5094911691851924,102166327331515.56,64,64,0,0.35
102,9.969729226000677e-13,,,,,,,,,,,,,,,,,coordination,1,0.19226693537327183,,0,12,0.048674520478908724,0.3169139387355808,93731829052619.08,64,64,0,0.35
103,1.0230931123902063e-12,,,,,,,,,,,,,,,,,surface_compression,1,-0.0815892422735665,,0,12,0.04738695295334613,0.46948368382622285,93396606479737.16,64,64,0,0.35
104,1.0287130425892448e-12,,,,,,,,,,,,,,,,,random_bulk,1,0.14703558124139532,,0,11,0.06447847463893569,0.32409733452233924,92527274263872.34,64,64,0,0.35
105,1.0416567618807079e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.2485329558951533,,0,11,0.07490713950513334,0.47977225821824077,103888393777962.34,64,64,0,0.35
106,1.056605424628014e-12,,,,,,,,,,,,,,,,,coordination,1,0.06708043636014739,,0,12,0.04570494979651703,0.5353009316442323,96817515543683.53,64,64,0,0.35
107,1.0584722314780814e-12,,,,,,,,,,,,,,,,,surface,1,0.06221495031401652,,0,11,0.024429899062667085,0.4391367617129088,87136954338845.25,64,64,0,0.35
108,1.0834855839593705e-12,,,,,,,,,,,,,,,,,random_bulk,1,-0.013532214830280583,-0.00919753890485353,1,10,0.021630277224477124,0.665836294658158,93039129885783.97,64,64,0,0.35
109,1.0861426359761527e-12,,,,,,,,,,,,,,,,,coordination,1,-0.033091977755833,-0.024982813343225274,1,11,0.027481690593119088,0.7142443151403621,101230219239496.83,64,64,0,0.35
110,1.1056277621779956e-12,,,,,,,,,,,,,,,,,surface_compression,1,-0.14266436564183654,-0.05304911499956688,1,11,0.05563154041554469,0.7773192093593054,93855404459324.5,64,64,0,0.35
111,1.1211613508900698e-12,,,,,,,,,,,,,,,,,surface_compression,1,0.0051636705340718765,,0,12,0.053154760017247164,0.36342748815177334,101036509843673.5,64,64,0,0.35
112,1.123823523174255e-12,,,,,,,,,,,,,,,,,surface_compression,1,0.17297509824122542,,0,11,0.03900699036262374,0.22941768752653335,91183335523620.72,64,64,0,0.35
113,1.148508785085947e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.12953160166381963,,0,12,0.06513707315760463,0.5141339916600997,89631759106405.72,64,64,0,0.35
114,1.2168335041249758e-12,,,,,,,,,,,,,,,,,relaxation,1,-0.07730599298171616,,0,12,0.04127255235052172,0.39592900160114297,98457572243825.38,64,64,0,0.35
