step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
72,,,,1,coordination,0.2069747649414495,0.2069747649414495,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
73,,,,1,relaxation,-0.306868987414358,-0.306868987414358,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
74,-6545.409235543482,-15.584307703674957,-46.75292311102487,1,coordination,-0.2961487028928431,-0.2961487028928431,0.0,1.0,,,135.0,224.0,359.0,276.0,83.0,1.542857142857143,0.5285714285714286,0.6428571428571429,0.7101190476190476,2.834260893172255,1.9006797093009276,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
75,,,,0,rejected_surface_compression,1.1487703432276675,1.1487703432276675,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
76,,,,1,surface_compression,-0.016343685639355954,-0.016343685639355954,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
77,,,,1,coordination,-0.0010498631155115845,-0.0010498631155115845,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
78,,,,0,rejected_coordination,0.21442303662667683,0.21442303662667683,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
79,,,,1,coordination,0.06763084283232246,0.06763084283232246,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
80,,,,1,surface_compression,0.05861500346065185,0.05861500346065185,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
81,,,,1,surface_compression,0.028454322367846174,0.028454322367846174,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
82,,,,0,rejected_surface_compression,0.07881972241723467,0.07881972241723467,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
83,,,,1,random_bulk,0.20826633771837777,0.20826633771837777,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
84,,,,1,surface_compression,-0.14191933283873936,-0.14191933283873936,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
85,,,,1,random_bulk,0.08019099238040894,0.08019099238040894,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
86,,,,1,coordination,-0.0035952714797140573,-0.0035952714797140573,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
87,,,,1,surface,-0.09645280720351934,-0.09645280720351934,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
88,,,,1,surface_compression,-0.18455155895266984,-0.18455155895266984,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
89,,,,1,relaxation,-0.32154807868312574,-0.32154807868312574,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
90,,,,1,relaxation,-0.4127237063567293,-0.4127237063567293,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
91,,,,0,rejected_random_bulk,0.5066479035402232,0.5066479035402232,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
92,,,,1,relaxation,-0.06397391897471039,-0.06397391897471039,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
93,,,,0,rejected_coordination,0.20444392206463746,0.20444392206463746,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
94,,,,1,coordination,-0.014014901271522717,-0.014014901271522717,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
95,,,,1,surface,0.10131971501052917,0.10131971501052917,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
96,,,,1,coordination,-0.2516994628484248,-0.2516994628484248,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
97,,,,1,surface_compression,0.07175865885772126,0.07175865885772126,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
98,,,,1,surface,-0.4655080880600835,-0.4655080880600835,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
99,-6546.899969035396,-15.587857069131895,-46.763571207395685,1,coordination,-0.1335886891011384,-0.1335886891011384,0.0,1.0,,,135.0,225.0,360.0,277.0,83.0,1.542857142857143,0.530952380952381,0.6458333333333334,0.7101190476190476,2.818810136874915,1.9009918970705793,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
100,,,,1,relaxation,0.5678936854731731,0.5678936854731731,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
101,,,,1,surface,0.3874108729240042,0.3874108729240042,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
102,,,,1,coordination,0.03802197421527964,0.03802197421527964,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
103,,,,1,relaxation,-0.601614411956124,-0.601614411956124,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
104,,,,1,surface_compression,-0.03118383503929678,-0.03118383503929678,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
105,,,,1,coordination,0.08909737035627074,0.08909737035627074,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
106,,,,1,relaxation,-0.23740428668237712,-0.23740428668237712,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
107,,,,0,rejected_surface_compression,0.4660840466454417,0.4660840466454417,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
108,,,,1,coordination,0.04521676676634456,0.04521676676634456,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
109,,,,1,random_bulk,0.022876957018624466,0.022876957018624466,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
110,,,,1,surface,-0.01385735261218457,-0.01385735261218457,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
111,,,,0,rejected_coordination,0.23698618057661136,0.23698618057661136,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
112,,,,1,relaxation,-0.1493028903351039,-0.1493028903351039,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
