step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
71,3.567266805608995e-13,,,,,,,,,,,,,,,,,surface,1,-0.11489758437613985,-0.1699950169199127,1,18,0.037447236326999714,0.8350725620118562,205031661605652.22,128,128,0,0.35
72,3.597333744678148e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.07706797207928119,,0,16,0.07906517870793535,0.5831115694187926,212390584653678.5,128,128,0,0.35
73,3.621605373139595e-13,,,,,,,,,,,,,,,,,coordination,1,-0.06180671426993552,,0,17,0.04399580356523279,0.4042021685636317,207722956730304.28,128,128,0,0.35
74,3.666209061254744e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.05405333347683083,,0,17,0.08034182880025634,0.43950839617744697,210733549835423.94,128,128,0,0.35
75,3.6746318193042835e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.13691280521635793,-0.09924560763921875,1,17,0.05550812230983917,0.7352767990720128,207645516937887.28,128,128,0,0.35
76,3.7230055397648415e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.17715934970151473,,0,17,0.03877350968740161,0.2115328887539431,181336281219504.97,128,128,0,0.35
77,3.8200090279381237e-13,,,,,,,,,,,,,,,,,coordination,1,0.27178333316157666,,0,18,0.08641831446581782,0.3127470978290291,193064352746956.75,128,128,0,0.35
78,3.8285635627215774e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.17343912299848185,-0.2741859406570555,1,17,0.06016917353861999,0.6581251305404178,197267244820609.75,128,128,0,0.35
79,3.8682099554049194e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.012669951372138439,,0,18,0.03462907243022682,0.4587089130969516,197347703187741.5,128,128,0,0.35
80,4.0020289077719306e-13,,,,,,,,,,,,,,,,,surface,1,0.0986943250788577,,0,17,0.033437709284311376,0.3024741517645255,201053622642945.25,128,128,0,0.35
81,4.0336616020497e-13,,,,,,,,,,,,,,,,,relaxation,1,0.18586904643118618,,0,16,0.03759870163943817,0.15046008939202082,196790881838197.28,128,128,0,0.35
82,4.05249885106753e-13,,,,,,,,,,,,,,,,,relaxation,1,0.0023642257759111706,,0,18,0.01988782975629133,0.44762271607123927,200415365999970.88,128,128,0,0.35
83,4.108887971697144e-13,,,,,,,,,,,,,,,,,surface,1,-0.10052788167842922,-0.1854749392552577,1,18,0.04203551625475179,0.7764581271870835,187306745256345.5,128,128,0,0.35
84,4.116345560459231e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.03933448142771793,,0,18,0.0459008407282168,0.40097345920706357,199083260261717.1,128,128,0,0.35
85,4.126570714397703e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.030247763868516492,,0,16,0.03877892171055115,0.4613357299591182,194934357668231.44,128,128,0,0.35
86,4.1994992331507626e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.01863530401138164,,0,18,0.030707730440830857,0.37450516682076973,201524099786557.75,128,128,0,0.35
